Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,4145,,4145,,33310,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,360,Indonesia,IDN,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,34,,34,,4953,,,0
H4,2015,2015,2015,6,1,1,Import,826,United Kingdom,GBR,372,Ireland,IRL,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,136594,,136594,,34095,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,372,Ireland,IRL,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,7119773,,7119773,,1433642,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,381,Italy,ITA,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,115,,115,,7853,,,0
H4,2015,2015,2015,6,1,1,Import,826,United Kingdom,GBR,392,Japan,JPN,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,240,,240,,33101,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,398,Kazakhstan,KAZ,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,64,,64,,1432,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,86,,86,,8227,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,440,Lithuania,LTU,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,1,,1,,2,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,470,Malta,MLT,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,42,,42,,770,,,0
