Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,Release,Revenues,year
155,78,79,9,23,Jurassic Park III (Universal),18-Jul-01,"$181,171,459 ",2001
156,197,59,26,14,Thor (Paramount),06-May-11,"$181,030,624 ",2011
157,30,19,10,9,Mission: Impossible (Paramount),22-May-96,"$180,981,223 ",1996
158,70,86,10,22,Planet of the Apes (2001) (Fox),27-Jul-01,"$180,011,204 ",2001
159,96,54,18,12,Madagascar: Escape 2 Africa (Paramount / DreamWorks),07-Nov-08,"$180,010,757 ",2008
160,94,158,8,36,X-Men Origins: Wolverine (Fox),01-May-09,"$179,879,302 ",2009
161,51,9,4,3,Indiana Jones and the Temple of Doom (Paramount),23-May-84,"$179,870,426 ",1984
162,124,55,22,13,Hitch (Sony / Columbia),11-Feb-05,"$179,495,994 ",2005
163,154,67,25,10,Men in Black 3 (Sony / Columbia),25-May-12,"$179,020,854 ",2012
164,34,21,6,3,Pretty Woman (Disney),23-Mar-90,"$178,406,922 ",1990
165,70,93,13,19,Night at the Museum: Battle of the Smithsonian (Fox),22-May-09,"$177,241,680 ",2009
166,35,5,6,0,Tootsie (Columbia),17-Dec-82,"$177,200,382 ",1982
167,20,20,2,4,Top Gun (Paramount),16-May-86,"$176,786,720 ",1986
168,201,42,33,9,Rise of the Planet of the Apes (Fox),05-Aug-11,"$176,760,185 ",2011
169,172,45,31,10,Captain America: The First Avenger (Paramount),22-Jul-11,"$176,654,505 ",2011
170,133,66,22,12,The Karate Kid (2010) (Sony / Columbia),11-Jun-10,"$176,591,618 ",2010
171,68,14,19,5,There's Something About Mary (Fox),15-Jul-98,"$176,489,373 ",1998
172,126,38,25,9,Ice Age (Fox),15-Mar-02,"$176,387,755 ",2002
173,152,36,30,10,The Bourne Supremacy (Universal),23-Jul-04,"$176,241,271 ",2004
174,23,3,1,1,Crocodile Dundee (Paramount),26-Sep-86,"$174,803,471 ",1986
175,67,2,16,1,Apollo 13 (Universal),30-Jun-95,"$173,837,410 ",1995
176,6,19,2,1,Home Alone 2: Lost in New York (Fox),20-Nov-92,"$173,585,649 ",1992
177,144,27,30,9,Elf (New Line),07-Nov-03,"$173,398,832 ",2003
178,75,94,12,25,National Treasure (Disney),19-Nov-04,"$173,008,217 ",2004
179,40,11,16,3,Air Force One (Sony / Columbia),25-Jul-97,"$172,956,394 ",1997
180,50,7,2,5,Rain Man (MGM/UA),16-Dec-88,"$172,825,476 ",1988
181,115,111,11,29,TRON: Legacy (Disney),17-Dec-10,"$172,062,763 ",2010
182,112,17,19,9,The Matrix (Warner Bros.),31-Mar-99,"$171,479,060 ",1999
183,90,12,23,4,Tarzan (Disney),16-Jun-99,"$171,091,147 ",1999
184,243,10,38,2,True Grit (2010) (Paramount),22-Dec-10,"$171,050,328 ",2010
185,143,40,30,7,A Beautiful Mind (Universal),21-Dec-01,"$170,742,924 ",2001
186,185,27,36,3,Chicago (Miramax),27-Dec-02,"$170,687,336 ",2002
187,150,47,28,13,The Help (Disney / DreamWorks),10-Aug-11,"$169,708,112 ",2011
188,211,23,34,4,Bridesmaids (Universal),13-May-11,"$169,106,725 ",2011
189,107,16,26,6,Wreck-It Ralph (Disney),02-Nov-12,"$168,721,592 ",2012
190,157,87,15,28,Quantum of Solace (Sony / Columbia),14-Nov-08,"$168,365,396 ",2008
191,21,120,3,33,Wild Hogs (Disney),02-Mar-07,"$168,273,303 ",2007
192,21,7,4,1,Three Men and a Baby (Disney),25-Nov-87,"$167,780,861 ",1987
193,208,12,44,2,Casino Royale (2006) (Sony / Columbia),17-Nov-06,"$167,445,579 ",2006
194,122,24,30,7,Meet the Parents (Universal),06-Oct-00,"$166,244,845 ",2000
195,92,144,12,26,2012 (Sony / Columbia),13-Nov-09,"$166,166,781 ",2009
196,17,12,2,1,Robin Hood: Prince of Thieves (Warner Bros.),14-Jun-91,"$165,493,447 ",1991
197,132,31,24,6,Kung Fu Panda 2 (Paramount / DreamWorks),26-May-11,"$165,249,063 ",2011
198,63,100,15,23,Hannibal (MGM),09-Feb-01,"$165,092,013 ",2001
199,186,8,39,4,Catch Me If You Can (2002) (DreamWorks),25-Dec-02,"$164,615,455 ",2002
200,79,103,16,18,The Proposal (Disney),19-Jun-09,"$163,950,545 ",2009
201,113,57,27,13,The Pursuit of Happyness (Sony / Columbia),15-Dec-06,"$163,566,344 ",2006
202,37,55,7,18,Big Daddy (Sony / Columbia),25-Jun-99,"$163,479,811 ",1999
203,67,170,13,25,Clash of the Titans (2010) (Warner Bros.),02-Apr-10,"$163,214,888 ",2010
