"data_zone"	"intermediate_zone"	"council_area"	"health_board"	"pct_school_attend"	"alcohol"	"population"	"working_population"	"pct_income_deprived"	"pct_employment_deprived"	"illness"	"mortality"	"drugs"	"pct_depress"	"pct_low_bw"	"hosp_emerg"	"noquals"	"crime"	"pct_no_heating"	"simd_2016_quintile"	"urban"
"1351"	"S01007856"	"Lochee"	"Dundee City"	"Tayside"	72	52	926	565	11	12	105	105	103	20	4	113	126	346	2	2	1
"1352"	"S01007857"	"Ardler and St Marys"	"Dundee City"	"Tayside"	77	88	497	320	22	25	180	103	0	22	0	119	171	262	1	1	1
"1353"	"S01007858"	"Ardler and St Marys"	"Dundee City"	"Tayside"	79	149	1101	657	22	21	165	140	142	26	8	143	145	481	1	1	1
"1354"	"S01007859"	"Ardler and St Marys"	"Dundee City"	"Tayside"	78	57	598	352	34	25	210	144	266	23	3	137	185	518	0	1	1
"1355"	"S01007860"	"Ardler and St Marys"	"Dundee City"	"Tayside"	81	68	636	417	13	13	100	81	119	21	7	121	131	220	0	2	1
"1356"	"S01007861"	"Ardler and St Marys"	"Dundee City"	"Tayside"	69	74	662	388	18	17	130	102	147	22	10	123	177	468	4	1	1
"1357"	"S01007862"	"Ardler and St Marys"	"Dundee City"	"Tayside"	76	107	727	439	17	17	140	119	0	20	14	135	166	495	3	1	1
"1358"	"S01007863"	"Ardler and St Marys"	"Dundee City"	"Tayside"	74	188	904	537	33	26	175	117	203	20	7	136	210	697	2	1	1
"1359"	"S01007864"	"Ardler and St Marys"	"Dundee City"	"Tayside"	87	55	946	562	20	21	135	93	97	23	4	104	157	211	3	1	1
"1360"	"S01007865"	"Western Edge"	"Dundee City"	"Tayside"	92	27	833	573	1	2	15	23	0	9	4	69	53	192	1	5	1
"1361"	"S01007866"	"Western Edge"	"Dundee City"	"Tayside"	88	35	570	417	3	4	45	44	0	13	4	63	59	NA	1	4	1
"1362"	"S01007867"	"Western Edge"	"Dundee City"	"Tayside"	92	8	628	379	6	5	50	71	0	12	0	56	67	111	4	4	0
"1363"	"S01007868"	"Western Edge"	"Dundee City"	"Tayside"	92	10	849	558	3	5	45	50	0	15	0	72	58	165	0	5	1
"1364"	"S01007869"	"Western Edge"	"Dundee City"	"Tayside"	87	25	981	623	2	2	50	126	0	12	3	73	44	71	1	5	1
"1365"	"S01007870"	"Doon Valley South"	"East Ayrshire"	"Ayrshire and Arran"	73	164	521	349	8	9	120	175	57	24	0	119	135	250	1	2	0
"1366"	"S01007871"	"Doon Valley South"	"East Ayrshire"	"Ayrshire and Arran"	69	169	650	395	34	30	240	120	490	28	4	180	244	616	0	1	0
"1367"	"S01007872"	"Doon Valley South"	"East Ayrshire"	"Ayrshire and Arran"	71	228	659	444	40	31	260	199	166	29	13	214	214	441	0	1	0
"1368"	"S01007873"	"Doon Valley South"	"East Ayrshire"	"Ayrshire and Arran"	85	51	638	379	17	14	150	156	51	29	0	131	161	424	1	2	0
"1369"	"S01007874"	"Doon Valley South"	"East Ayrshire"	"Ayrshire and Arran"	90	146	744	453	21	19	170	136	184	26	0	182	166	431	1	1	0
"1370"	"S01007875"	"Doon Valley North"	"East Ayrshire"	"Ayrshire and Arran"	75	82	518	346	16	15	130	93	60	19	0	144	113	232	1	2	0
"1371"	"S01007876"	"Doon Valley North"	"East Ayrshire"	"Ayrshire and Arran"	85	41	1003	632	11	11	110	154	0	18	3	125	104	280	0	2	0
"1372"	"S01007877"	"Doon Valley North"	"East Ayrshire"	"Ayrshire and Arran"	77	273	748	458	20	18	200	187	163	26	4	190	167	495	0	1	0
"1373"	"S01007878"	"Doon Valley North"	"East Ayrshire"	"Ayrshire and Arran"	69	252	696	393	19	23	120	113	195	33	13	143	172	460	0	1	0
"1374"	"S01007879"	"Doon Valley North"	"East Ayrshire"	"Ayrshire and Arran"	73	109	726	436	25	18	165	103	0	26	13	132	201	317	0	1	0
"1375"	"S01007880"	"Doon Valley North"	"East Ayrshire"	"Ayrshire and Arran"	79	73	377	250	9	8	70	76	0	14	17	97	104	319	2	3	0
"1376"	"S01007881"	"Mauchline Rural"	"East Ayrshire"	"Ayrshire and Arran"	79	130	532	314	25	21	165	113	274	19	9	151	143	151	0	1	0
"1377"	"S01007882"	"Mauchline Rural"	"East Ayrshire"	"Ayrshire and Arran"	85	23	759	519	9	6	75	48	0	13	9	66	87	396	1	3	0
"1378"	"S01007883"	"Mauchline Rural"	"East Ayrshire"	"Ayrshire and Arran"	89	160	1074	705	7	8	80	93	104	15	5	111	100	56	0	3	0
"1379"	"S01007884"	"Mauchline Rural"	"East Ayrshire"	"Ayrshire and Arran"	82	207	653	425	12	10	120	86	0	27	4	143	134	92	0	2	0
"1380"	"S01007885"	"Mauchline Rural"	"East Ayrshire"	"Ayrshire and Arran"	75	145	704	471	30	27	195	101	534	28	6	148	205	398	1	1	0
"1381"	"S01007886"	"Mauchline Rural"	"East Ayrshire"	"Ayrshire and Arran"	77	182	814	528	18	17	150	132	179	26	0	129	128	492	1	2	0
"1382"	"S01007887"	"Mauchline Rural"	"East Ayrshire"	"Ayrshire and Arran"	85	23	565	367	3	3	50	104	0	12	18	97	61	160	3	4	0
"1383"	"S01007888"	"Drongan"	"East Ayrshire"	"Ayrshire and Arran"	72	60	1009	647	21	17	140	201	220	24	3	159	222	159	0	1	0
"1384"	"S01007889"	"Drongan"	"East Ayrshire"	"Ayrshire and Arran"	72	72	542	329	19	17	155	103	0	28	14	131	176	314	0	1	0
"1385"	"S01007890"	"Drongan"	"East Ayrshire"	"Ayrshire and Arran"	78	20	738	452	15	13	120	154	40	23	4	123	135	95	0	2	0
"1386"	"S01007891"	"Drongan"	"East Ayrshire"	"Ayrshire and Arran"	83	16	942	571	12	8	110	128	33	19	0	118	142	149	1	3	0
"1387"	"S01007892"	"Mauchline"	"East Ayrshire"	"Ayrshire and Arran"	80	72	712	452	8	10	95	85	43	23	5	92	76	127	1	3	0
"1388"	"S01007893"	"Mauchline"	"East Ayrshire"	"Ayrshire and Arran"	91	53	1038	626	5	4	75	82	0	19	7	76	79	87	0	5	0
"1389"	"S01007894"	"Mauchline"	"East Ayrshire"	"Ayrshire and Arran"	76	43	856	575	12	11	105	110	34	24	0	104	142	47	0	3	0
"1390"	"S01007895"	"Mauchline"	"East Ayrshire"	"Ayrshire and Arran"	80	73	604	366	8	8	90	116	0	19	0	104	87	315	0	3	0
"1391"	"S01007896"	"Mauchline"	"East Ayrshire"	"Ayrshire and Arran"	75	230	827	512	20	17	150	140	367	25	6	160	178	254	1	1	0
"1392"	"S01007897"	"Cumnock Rural"	"East Ayrshire"	"Ayrshire and Arran"	89	30	449	284	15	9	135	74	0	14	0	64	85	223	1	3	0
"1393"	"S01007898"	"Cumnock Rural"	"East Ayrshire"	"Ayrshire and Arran"	94	31	426	288	6	5	70	78	0	15	0	81	86	NA	1	4	0
"1394"	"S01007899"	"Cumnock Rural"	"East Ayrshire"	"Ayrshire and Arran"	88	58	375	252	10	12	135	85	0	15	0	111	113	320	2	2	0
"1395"	"S01007900"	"Cumnock Rural"	"East Ayrshire"	"Ayrshire and Arran"	72	122	517	312	26	19	180	118	60	26	3	138	198	504	0	1	0
"1396"	"S01007901"	"Cumnock Rural"	"East Ayrshire"	"Ayrshire and Arran"	79	203	676	405	25	20	150	122	131	22	3	156	182	311	1	1	0
"1397"	"S01007902"	"Cumnock Rural"	"East Ayrshire"	"Ayrshire and Arran"	67	123	868	529	28	28	220	109	212	31	4	112	223	277	0	1	0
"1398"	"S01007903"	"Cumnock Rural"	"East Ayrshire"	"Ayrshire and Arran"	81	78	607	361	16	22	160	113	268	28	0	107	151	478	0	2	0
"1399"	"S01007904"	"Cumnock Rural"	"East Ayrshire"	"Ayrshire and Arran"	91	32	838	549	10	10	100	62	38	19	0	98	95	96	2	3	0
"1400"	"S01007905"	"New Cumnock"	"East Ayrshire"	"Ayrshire and Arran"	70	59	670	446	26	22	160	124	377	23	5	153	236	209	0	1	0
"1401"	"S01007906"	"New Cumnock"	"East Ayrshire"	"Ayrshire and Arran"	68	228	705	417	26	23	170	141	52	25	11	194	204	213	0	1	0
"1402"	"S01007907"	"New Cumnock"	"East Ayrshire"	"Ayrshire and Arran"	75	109	518	323	19	18	145	109	130	26	0	156	178	193	0	2	0
"1403"	"S01007908"	"New Cumnock"	"East Ayrshire"	"Ayrshire and Arran"	82	48	907	546	11	12	130	87	148	21	0	140	148	121	1	3	0
"1404"	"S01007909"	"Cumnock South and Craigens"	"East Ayrshire"	"Ayrshire and Arran"	81	39	536	332	13	11	125	112	112	18	4	115	147	112	0	2	0
"1405"	"S01007910"	"Cumnock South and Craigens"	"East Ayrshire"	"Ayrshire and Arran"	71	62	887	559	24	19	135	100	0	22	11	127	174	271	0	1	0
"1406"	"S01007911"	"Cumnock South and Craigens"	"East Ayrshire"	"Ayrshire and Arran"	83	75	793	490	16	14	125	137	38	19	5	132	134	164	0	2	0
"1407"	"S01007912"	"Cumnock South and Craigens"	"East Ayrshire"	"Ayrshire and Arran"	78	76	712	456	17	21	160	129	255	23	0	139	158	380	0	2	0
"1408"	"S01007913"	"Cumnock South and Craigens"	"East Ayrshire"	"Ayrshire and Arran"	67	166	645	394	30	20	175	170	172	25	0	170	197	574	0	1	0
"1409"	"S01007914"	"Cumnock South and Craigens"	"East Ayrshire"	"Ayrshire and Arran"	70	105	602	400	23	19	140	98	336	20	7	134	156	582	0	1	0
"1410"	"S01007915"	"Cumnock South and Craigens"	"East Ayrshire"	"Ayrshire and Arran"	87	97	799	517	15	16	145	108	147	20	5	120	135	263	0	2	0
"1411"	"S01007916"	"Cumnock North"	"East Ayrshire"	"Ayrshire and Arran"	80	104	798	455	18	19	165	119	44	24	12	144	136	402	0	2	0
"1412"	"S01007917"	"Cumnock North"	"East Ayrshire"	"Ayrshire and Arran"	70	212	808	502	19	16	120	162	373	25	5	139	173	285	0	2	0
"1413"	"S01007918"	"Cumnock North"	"East Ayrshire"	"Ayrshire and Arran"	82	98	906	602	17	20	155	127	415	23	6	155	128	917	1	2	0
"1414"	"S01007919"	"Cumnock North"	"East Ayrshire"	"Ayrshire and Arran"	94	16	823	517	2	5	60	78	38	13	0	82	65	49	0	5	0
"1415"	"S01007920"	"Cumnock North"	"East Ayrshire"	"Ayrshire and Arran"	89	31	588	382	5	5	85	46	47	13	4	105	79	85	0	4	0
"1416"	"S01007921"	"Auchinleck"	"East Ayrshire"	"Ayrshire and Arran"	70	156	928	586	24	22	170	136	130	22	4	145	200	216	0	1	0
"1417"	"S01007922"	"Auchinleck"	"East Ayrshire"	"Ayrshire and Arran"	73	116	789	507	27	26	205	138	301	22	4	133	220	381	0	1	0
"1418"	"S01007923"	"Auchinleck"	"East Ayrshire"	"Ayrshire and Arran"	83	128	1009	602	11	11	110	116	203	15	0	138	131	179	1	3	0
"1419"	"S01007924"	"Auchinleck"	"East Ayrshire"	"Ayrshire and Arran"	73	133	1027	606	23	18	150	154	150	21	4	140	173	478	0	1	0
"1420"	"S01007925"	"Northern and Irvine Valley Rural"	"East Ayrshire"	"Ayrshire and Arran"	86	19	457	298	4	6	60	48	0	9	0	83	73	110	2	4	0
"1421"	"S01007926"	"Northern and Irvine Valley Rural"	"East Ayrshire"	"Ayrshire and Arran"	88	36	493	305	6	3	40	111	0	16	0	95	70	163	1	4	0
"1422"	"S01007927"	"Northern and Irvine Valley Rural"	"East Ayrshire"	"Ayrshire and Arran"	85	20	670	469	4	3	45	82	0	13	7	116	79	194	1	4	0
"1423"	"S01007928"	"Northern and Irvine Valley Rural"	"East Ayrshire"	"Ayrshire and Arran"	91	105	1028	601	5	5	65	105	34	15	0	116	73	127	1	4	0
"1424"	"S01007929"	"Northern and Irvine Valley Rural"	"East Ayrshire"	"Ayrshire and Arran"	89	9	1154	787	3	3	55	63	0	8	4	85	69	NA	3	4	0
"1425"	"S01007930"	"Northern and Irvine Valley Rural"	"East Ayrshire"	"Ayrshire and Arran"	97	22	614	386	2	3	40	63	0	7	0	73	59	98	3	4	0
"1426"	"S01007931"	"Northern and Irvine Valley Rural"	"East Ayrshire"	"Ayrshire and Arran"	92	63	1147	653	8	7	65	97	56	11	5	88	75	122	1	4	0
"1427"	"S01007932"	"Stewarton East"	"East Ayrshire"	"Ayrshire and Arran"	91	38	814	454	4	5	55	79	0	13	0	89	40	62	1	5	0
"1428"	"S01007933"	"Stewarton East"	"East Ayrshire"	"Ayrshire and Arran"	91	83	849	512	10	8	100	74	70	13	7	107	89	83	1	4	0
"1429"	"S01007934"	"Stewarton East"	"East Ayrshire"	"Ayrshire and Arran"	87	54	686	426	17	13	125	133	213	16	3	118	85	131	1	2	0
"1430"	"S01007935"	"Stewarton East"	"East Ayrshire"	"Ayrshire and Arran"	82	240	812	509	18	14	115	85	136	16	8	114	67	469	2	2	0
"1431"	"S01007936"	"Stewarton East"	"East Ayrshire"	"Ayrshire and Arran"	95	14	1008	634	3	3	40	57	28	11	3	81	46	60	0	5	0
"1432"	"S01007937"	"Stewarton West"	"East Ayrshire"	"Ayrshire and Arran"	87	27	990	639	4	4	55	63	0	12	4	104	56	182	1	5	0
"1433"	"S01007938"	"Stewarton West"	"East Ayrshire"	"Ayrshire and Arran"	83	176	705	430	16	14	100	129	42	18	3	117	121	170	0	2	0
"1434"	"S01007939"	"Stewarton West"	"East Ayrshire"	"Ayrshire and Arran"	76	259	826	491	24	19	120	92	836	21	11	126	141	279	1	1	0
"1435"	"S01007940"	"Darvel"	"East Ayrshire"	"Ayrshire and Arran"	92	115	1045	640	14	15	115	101	28	21	9	109	118	134	1	2	0
"1436"	"S01007941"	"Darvel"	"East Ayrshire"	"Ayrshire and Arran"	94	14	620	393	2	4	60	39	0	16	7	87	78	81	0	5	0
"1437"	"S01007942"	"Darvel"	"East Ayrshire"	"Ayrshire and Arran"	80	100	579	356	13	10	100	93	142	17	8	120	89	259	1	3	0
"1438"	"S01007943"	"Darvel"	"East Ayrshire"	"Ayrshire and Arran"	91	68	663	346	12	12	105	83	231	17	7	87	108	287	1	3	0
"1439"	"S01007944"	"Darvel"	"East Ayrshire"	"Ayrshire and Arran"	70	103	890	536	13	14	115	93	282	21	8	111	110	203	0	2	0
"1440"	"S01007945"	"Newmilns"	"East Ayrshire"	"Ayrshire and Arran"	86	258	794	490	22	22	150	83	467	23	3	134	103	631	2	1	0
"1441"	"S01007946"	"Newmilns"	"East Ayrshire"	"Ayrshire and Arran"	73	187	704	482	17	20	140	121	288	20	7	151	126	498	2	2	0
"1442"	"S01007947"	"Newmilns"	"East Ayrshire"	"Ayrshire and Arran"	84	32	671	401	10	12	85	85	189	18	4	103	98	209	1	3	0
"1443"	"S01007948"	"Newmilns"	"East Ayrshire"	"Ayrshire and Arran"	81	139	637	371	27	24	155	83	753	25	3	143	205	204	0	1	0
"1444"	"S01007949"	"Galston"	"East Ayrshire"	"Ayrshire and Arran"	83	54	705	427	10	8	85	73	96	16	4	101	79	NA	1	3	0
"1445"	"S01007950"	"Galston"	"East Ayrshire"	"Ayrshire and Arran"	87	55	895	587	5	5	60	68	67	15	3	97	80	45	0	4	0
"1446"	"S01007951"	"Galston"	"East Ayrshire"	"Ayrshire and Arran"	75	51	762	484	10	11	95	74	113	15	14	106	114	223	0	3	0
"1447"	"S01007952"	"Galston"	"East Ayrshire"	"Ayrshire and Arran"	85	219	575	340	26	28	185	131	591	26	8	170	129	505	1	1	0
"1448"	"S01007953"	"Galston"	"East Ayrshire"	"Ayrshire and Arran"	74	71	966	636	18	11	110	127	220	17	7	133	151	124	1	2	0
"1449"	"S01007954"	"Galston"	"East Ayrshire"	"Ayrshire and Arran"	77	236	692	477	32	23	175	145	421	23	7	186	189	261	0	1	0
"1450"	"S01007955"	"Earlston and Hurlford Rural"	"East Ayrshire"	"Ayrshire and Arran"	80	127	832	523	18	16	145	111	164	18	11	149	190	144	1	1	1
"1451"	"S01007956"	"Earlston and Hurlford Rural"	"East Ayrshire"	"Ayrshire and Arran"	82	129	706	432	22	17	140	123	41	18	4	136	159	199	0	2	1
"1452"	"S01007957"	"Earlston and Hurlford Rural"	"East Ayrshire"	"Ayrshire and Arran"	85	111	900	537	17	16	165	132	0	20	11	154	166	278	1	2	1
"1453"	"S01007958"	"Earlston and Hurlford Rural"	"East Ayrshire"	"Ayrshire and Arran"	79	143	835	518	25	20	145	161	337	22	6	141	166	432	1	1	1
"1454"	"S01007959"	"Earlston and Hurlford Rural"	"East Ayrshire"	"Ayrshire and Arran"	88	66	767	461	8	10	85	72	90	19	5	115	119	287	0	3	1
"1455"	"S01007960"	"Earlston and Hurlford Rural"	"East Ayrshire"	"Ayrshire and Arran"	85	76	712	464	12	12	120	98	316	17	9	122	168	183	0	2	1
"1456"	"S01007961"	"Earlston and Hurlford Rural"	"East Ayrshire"	"Ayrshire and Arran"	86	38	1113	819	5	5	60	133	403	8	0	126	188	648	1	3	0
"1457"	"S01007962"	"Shortlees"	"East Ayrshire"	"Ayrshire and Arran"	76	195	594	371	29	20	145	85	96	18	5	149	146	320	1	1	1
"1458"	"S01007963"	"Shortlees"	"East Ayrshire"	"Ayrshire and Arran"	67	254	956	585	48	33	235	179	963	23	5	197	267	608	0	1	1
"1459"	"S01007964"	"Shortlees"	"East Ayrshire"	"Ayrshire and Arran"	63	123	755	465	28	16	120	124	78	17	11	164	196	544	1	1	1
"1460"	"S01007965"	"Shortlees"	"East Ayrshire"	"Ayrshire and Arran"	72	208	553	333	21	19	145	149	293	18	7	165	162	145	1	1	1
"1461"	"S01007966"	"Shortlees"	"East Ayrshire"	"Ayrshire and Arran"	69	110	953	582	29	20	155	129	335	20	13	163	215	378	1	1	1
"1462"	"S01007967"	"Shortlees"	"East Ayrshire"	"Ayrshire and Arran"	69	43	636	423	32	19	155	132	184	19	3	167	212	205	0	1	1
"1463"	"S01007968"	"Bellfield and Kirkstyle"	"East Ayrshire"	"Ayrshire and Arran"	83	69	842	520	17	12	95	109	70	18	7	123	158	167	1	2	1
"1464"	"S01007969"	"Bellfield and Kirkstyle"	"East Ayrshire"	"Ayrshire and Arran"	77	107	808	493	18	16	125	83	463	17	3	131	161	186	1	2	1
"1465"	"S01007970"	"Bellfield and Kirkstyle"	"East Ayrshire"	"Ayrshire and Arran"	76	229	852	532	19	15	130	103	196	20	4	115	170	247	1	2	1
"1466"	"S01007971"	"Bellfield and Kirkstyle"	"East Ayrshire"	"Ayrshire and Arran"	80	128	930	603	22	21	160	116	453	20	2	133	146	334	0	1	1
"1467"	"S01007972"	"Bellfield and Kirkstyle"	"East Ayrshire"	"Ayrshire and Arran"	83	134	837	545	14	10	105	95	38	17	8	125	158	215	1	2	1
"1468"	"S01007973"	"Kilmarnock South Central and Caprington"	"East Ayrshire"	"Ayrshire and Arran"	86	11	786	507	4	5	55	59	0	15	0	75	86	64	0	4	1
"1469"	"S01007974"	"Kilmarnock South Central and Caprington"	"East Ayrshire"	"Ayrshire and Arran"	70	76	803	522	24	22	160	177	269	22	6	134	175	736	1	1	1
"1470"	"S01007975"	"Kilmarnock South Central and Caprington"	"East Ayrshire"	"Ayrshire and Arran"	84	482	643	384	20	17	150	116	138	17	6	156	155	935	2	1	1
"1471"	"S01007976"	"Kilmarnock South Central and Caprington"	"East Ayrshire"	"Ayrshire and Arran"	84	204	718	483	23	25	155	119	165	23	5	121	155	558	0	1	1
"1472"	"S01007977"	"Piersland"	"East Ayrshire"	"Ayrshire and Arran"	85	77	610	421	11	8	65	114	0	14	17	118	86	263	0	3	1
"1473"	"S01007978"	"Piersland"	"East Ayrshire"	"Ayrshire and Arran"	98	150	567	413	19	16	120	148	486	19	17	161	112	336	3	2	1
"1474"	"S01007979"	"Piersland"	"East Ayrshire"	"Ayrshire and Arran"	90	269	794	535	10	10	85	74	1197	16	5	117	68	681	1	3	1
"1475"	"S01007980"	"Piersland"	"East Ayrshire"	"Ayrshire and Arran"	91	103	690	420	9	7	75	68	141	14	5	112	83	145	0	4	1
"1476"	"S01007981"	"Piersland"	"East Ayrshire"	"Ayrshire and Arran"	84	74	524	284	5	7	65	62	78	14	8	105	89	NA	0	4	1
"1477"	"S01007982"	"New Farm Loch South"	"East Ayrshire"	"Ayrshire and Arran"	92	9	507	289	7	6	50	50	0	12	8	80	96	158	0	4	1
"1478"	"S01007983"	"New Farm Loch South"	"East Ayrshire"	"Ayrshire and Arran"	74	136	815	453	22	20	115	113	207	18	6	127	156	393	0	2	1
"1479"	"S01007984"	"New Farm Loch South"	"East Ayrshire"	"Ayrshire and Arran"	91	122	774	429	12	8	80	102	309	15	8	118	118	492	1	3	1
"1480"	"S01007985"	"New Farm Loch South"	"East Ayrshire"	"Ayrshire and Arran"	81	155	896	532	22	20	115	139	695	19	5	156	167	525	0	1	1
"1481"	"S01007986"	"Dean and New Farm Loch North"	"East Ayrshire"	"Ayrshire and Arran"	91	65	579	352	11	9	105	62	53	17	7	114	141	294	0	3	1
"1482"	"S01007987"	"Dean and New Farm Loch North"	"East Ayrshire"	"Ayrshire and Arran"	90	98	750	473	13	10	90	62	83	18	8	115	111	441	1	3	1
"1483"	"S01007988"	"Dean and New Farm Loch North"	"East Ayrshire"	"Ayrshire and Arran"	84	74	807	444	17	12	105	97	37	15	0	131	154	186	0	2	1
"1484"	"S01007989"	"Dean and New Farm Loch North"	"East Ayrshire"	"Ayrshire and Arran"	82	62	680	436	25	15	115	92	217	23	7	134	142	339	2	1	1
"1485"	"S01007990"	"Dean and New Farm Loch North"	"East Ayrshire"	"Ayrshire and Arran"	83	113	934	637	14	11	85	102	28	15	7	123	115	279	0	2	1
"1486"	"S01007991"	"Southcraig and Beansburn"	"East Ayrshire"	"Ayrshire and Arran"	92	20	946	658	4	4	50	29	0	10	5	104	56	85	0	4	1
"1487"	"S01007992"	"Southcraig and Beansburn"	"East Ayrshire"	"Ayrshire and Arran"	93	23	657	455	2	3	45	39	38	10	0	81	57	NA	0	5	1
"1488"	"S01007993"	"Southcraig and Beansburn"	"East Ayrshire"	"Ayrshire and Arran"	91	22	775	507	2	3	35	49	0	10	0	90	75	52	0	5	1
"1489"	"S01007994"	"Southcraig and Beansburn"	"East Ayrshire"	"Ayrshire and Arran"	92	31	880	573	2	2	35	51	0	9	2	93	45	34	1	5	1
"1490"	"S01007995"	"Southcraig and Beansburn"	"East Ayrshire"	"Ayrshire and Arran"	93	17	893	589	3	2	30	68	30	13	0	91	64	NA	1	5	1
"1491"	"S01007996"	"Southcraig and Beansburn"	"East Ayrshire"	"Ayrshire and Arran"	88	38	470	288	1	2	30	64	70	13	0	82	82	128	0	5	1
"1492"	"S01007997"	"Southcraig and Beansburn"	"East Ayrshire"	"Ayrshire and Arran"	86	137	662	397	4	3	55	73	100	10	0	94	68	212	0	4	1
"1493"	"S01007998"	"Southcraig and Beansburn"	"East Ayrshire"	"Ayrshire and Arran"	74	35	523	322	7	5	80	98	61	15	0	91	47	460	1	4	1
"1494"	"S01007999"	"Altonhill North and Onthank"	"East Ayrshire"	"Ayrshire and Arran"	79	114	675	468	20	18	135	105	211	19	3	131	211	252	0	1	1
"1495"	"S01008000"	"Altonhill North and Onthank"	"East Ayrshire"	"Ayrshire and Arran"	78	245	926	554	25	20	170	157	435	23	9	157	178	725	0	1	1
"1496"	"S01008001"	"Altonhill North and Onthank"	"East Ayrshire"	"Ayrshire and Arran"	74	313	907	548	35	33	195	97	996	23	6	199	231	585	0	1	1
"1497"	"S01008002"	"Altonhill North and Onthank"	"East Ayrshire"	"Ayrshire and Arran"	66	374	753	511	42	30	190	137	1575	22	2	217	209	1210	4	1	1
"1498"	"S01008003"	"Altonhill North and Onthank"	"East Ayrshire"	"Ayrshire and Arran"	85	106	678	420	19	13	110	163	212	20	6	112	151	251	0	2	1
"1499"	"S01008004"	"Altonhill North and Onthank"	"East Ayrshire"	"Ayrshire and Arran"	81	50	666	464	4	3	30	45	33	9	0	130	113	165	0	4	1
"1500"	"S01008005"	"Altonhill South, Longpark and Hillhead"	"East Ayrshire"	"Ayrshire and Arran"	86	27	736	513	3	3	20	62	30	10	3	124	82	109	0	4	1
"1501"	"S01008006"	"Altonhill South, Longpark and Hillhead"	"East Ayrshire"	"Ayrshire and Arran"	68	302	569	358	50	36	250	151	1207	21	4	185	254	581	0	1	1
"1502"	"S01008007"	"Altonhill South, Longpark and Hillhead"	"East Ayrshire"	"Ayrshire and Arran"	65	222	448	318	45	34	205	198	970	22	15	170	226	1654	1	1	1
"1503"	"S01008008"	"Altonhill South, Longpark and Hillhead"	"East Ayrshire"	"Ayrshire and Arran"	79	553	674	432	24	21	125	192	602	17	0	218	195	475	0	1	1
"1504"	"S01008009"	"Altonhill South, Longpark and Hillhead"	"East Ayrshire"	"Ayrshire and Arran"	74	249	785	519	36	29	220	169	288	19	3	199	169	1186	0	1	1
"1505"	"S01008010"	"Altonhill South, Longpark and Hillhead"	"East Ayrshire"	"Ayrshire and Arran"	80	214	815	595	19	24	150	77	580	18	7	124	150	1401	1	1	1
"1506"	"S01008011"	"Altonhill South, Longpark and Hillhead"	"East Ayrshire"	"Ayrshire and Arran"	59	333	662	430	35	35	195	123	1148	23	6	188	159	2133	0	1	1
"1507"	"S01008012"	"Bonnyton and Town Centre"	"East Ayrshire"	"Ayrshire and Arran"	81	279	797	610	26	24	160	110	1072	21	11	185	99	3870	2	1	1
"1508"	"S01008013"	"Bonnyton and Town Centre"	"East Ayrshire"	"Ayrshire and Arran"	80	252	705	382	21	20	125	145	588	24	8	149	91	625	1	1	1
"1509"	"S01008014"	"Bonnyton and Town Centre"	"East Ayrshire"	"Ayrshire and Arran"	87	113	617	419	10	7	85	124	92	15	5	103	81	243	1	4	1
"1510"	"S01008015"	"Bonnyton and Town Centre"	"East Ayrshire"	"Ayrshire and Arran"	81	164	948	642	16	14	110	106	157	16	5	134	165	518	1	2	1
"1511"	"S01008016"	"Bonnyton and Town Centre"	"East Ayrshire"	"Ayrshire and Arran"	83	195	774	465	16	15	105	103	196	20	2	124	128	181	2	2	1
"1512"	"S01008017"	"Grange, Howard and Gargieston"	"East Ayrshire"	"Ayrshire and Arran"	91	35	895	527	4	3	45	91	0	13	0	83	52	112	0	5	1
"1513"	"S01008018"	"Grange, Howard and Gargieston"	"East Ayrshire"	"Ayrshire and Arran"	94	28	612	358	4	3	45	45	159	13	7	80	61	229	0	5	1
"1514"	"S01008019"	"Grange, Howard and Gargieston"	"East Ayrshire"	"Ayrshire and Arran"	93	43	750	481	5	3	55	122	0	14	0	73	45	214	0	5	1
"1515"	"S01008020"	"Grange, Howard and Gargieston"	"East Ayrshire"	"Ayrshire and Arran"	85	81	578	412	8	8	75	72	161	14	0	106	96	139	1	4	1
"1516"	"S01008021"	"Grange, Howard and Gargieston"	"East Ayrshire"	"Ayrshire and Arran"	90	24	563	321	3	5	55	53	0	13	0	84	54	107	0	5	1
"1517"	"S01008022"	"Grange, Howard and Gargieston"	"East Ayrshire"	"Ayrshire and Arran"	94	70	716	437	2	5	50	55	45	14	0	71	66	70	0	5	1
"1518"	"S01008023"	"Grange, Howard and Gargieston"	"East Ayrshire"	"Ayrshire and Arran"	90	13	714	496	1	3	35	18	0	10	0	79	58	140	0	5	1
"1519"	"S01008024"	"Grange, Howard and Gargieston"	"East Ayrshire"	"Ayrshire and Arran"	94	13	982	656	0	1	15	65	0	8	0	93	26	92	0	5	1
"1520"	"S01008025"	"Crosshouse, Gatehead and Kilmaurs Rural"	"East Ayrshire"	"Ayrshire and Arran"	89	46	639	401	5	6	85	69	52	18	18	113	95	NA	1	4	0
"1521"	"S01008026"	"Crosshouse, Gatehead and Kilmaurs Rural"	"East Ayrshire"	"Ayrshire and Arran"	84	120	989	624	16	12	125	83	174	18	4	146	134	122	0	2	0
