"data_zone"	"intermediate_zone"	"council_area"	"health_board"	"pct_school_attend"	"alcohol"	"population"	"working_population"	"pct_income_deprived"	"pct_employment_deprived"	"illness"	"mortality"	"drugs"	"pct_depress"	"pct_low_bw"	"hosp_emerg"	"noquals"	"crime"	"pct_no_heating"	"simd_2016_quintile"	"urban"
"39"	"S01006544"	"Braeside, Mannofield, Broomhill and Seafield North"	"Aberdeen City"	"Grampian"	95	47	1176	812	2	1	25	94	19	11	0	68	33	196	0	5	1
"40"	"S01006545"	"Braeside, Mannofield, Broomhill and Seafield North"	"Aberdeen City"	"Grampian"	88	35	1071	678	4	4	50	72	25	13	9	65	24	131	2	5	1
"41"	"S01006546"	"Braeside, Mannofield, Broomhill and Seafield North"	"Aberdeen City"	"Grampian"	94	14	638	398	2	3	35	61	0	12	0	81	21	78	1	5	1
"42"	"S01006547"	"Hazlehead"	"Aberdeen City"	"Grampian"	92	134	929	563	9	7	65	96	102	17	0	81	50	431	2	3	1
"43"	"S01006548"	"Hazlehead"	"Aberdeen City"	"Grampian"	96	0	697	388	1	2	25	69	0	13	11	68	21	86	1	5	1
"44"	"S01006549"	"Hazlehead"	"Aberdeen City"	"Grampian"	92	11	836	501	1	2	35	68	0	13	3	51	25	120	0	5	1
"45"	"S01006550"	"Hazlehead"	"Aberdeen City"	"Grampian"	98	24	941	536	1	1	30	92	0	12	9	61	22	NA	0	5	1
"46"	"S01006551"	"Hazlehead"	"Aberdeen City"	"Grampian"	86	148	693	422	15	17	130	109	42	20	0	124	108	303	3	2	1
"47"	"S01006552"	"Hazlehead"	"Aberdeen City"	"Grampian"	87	21	864	592	3	3	35	47	0	12	3	62	39	116	1	5	1
"48"	"S01006553"	"Summerhill"	"Aberdeen City"	"Grampian"	94	39	866	469	6	6	75	90	0	16	0	99	62	208	1	4	1
"49"	"S01006554"	"Summerhill"	"Aberdeen City"	"Grampian"	87	60	799	495	7	6	65	102	134	16	14	99	81	338	1	4	1
"50"	"S01006555"	"Summerhill"	"Aberdeen City"	"Grampian"	81	211	785	553	17	14	130	115	397	17	2	127	116	714	1	2	1
"51"	"S01006556"	"Summerhill"	"Aberdeen City"	"Grampian"	85	197	815	498	13	12	110	112	589	20	2	136	108	233	1	2	1
"52"	"S01006557"	"Summerhill"	"Aberdeen City"	"Grampian"	75	234	707	455	16	13	130	112	114	21	9	162	124	439	0	2	1
"53"	"S01006558"	"Midstocket"	"Aberdeen City"	"Grampian"	97	23	620	464	2	2	35	79	0	10	0	68	26	371	4	5	1
"54"	"S01006559"	"Midstocket"	"Aberdeen City"	"Grampian"	96	8	618	440	2	1	30	43	0	9	0	56	11	146	0	5	1
